source,target,relationship
8338,3405,SEE_ALSO
8339,3405,SEE_ALSO
10517,10565,SEE_ALSO
3588,3587,SEE_ALSO
1978,165,APPRENTICED_TO
1978,4046,HAD_APPRENTICE
165,166,HAD_APPRENTICE
165,4741,APPRENTICED_TO
165,1978,HAD_APPRENTICE
165,427,HAD_APPRENTICE
165,293,TOOK_OVER_FROM
165,164,SUCCEEDED__BY
4244,6534,SAME_PREMISES_AS
4244,4687,TOOK_OVER_FROM
4046,5641,HAD_APPRENTICE
4046,1978,CHILD_OF
5641,4046,CHILD_OF
5729,2783,SEE_ALSO
5729,1060,SEE_ALSO
5729,1978,CHILD_OF
2783,5302,HAD_APPRENTICE
1060,5729,SEE_ALSO
8463,4290,SAME_PREMISES_AS
4290,4290,SUCCEEDED__BY
4644,2793,SAME_PREMISES_AS
2793,4644,SAME_PREMISES_AS
1142,3075,SUCCEEDED__BY
1142,2657,SEE_ALSO
3075,1142,TOOK_OVER_FROM
2657,1142,SEE_ALSO
6117,1142,SEE_ALSO
6117,2657,SEE_ALSO
1736,1822,APPRENTICED_TO
1736,1744,SUCCEEDED__BY
1736,1741,TOOK_OVER_FROM
1743,2587,SEE_ALSO
1743,1744,SEE_ALSO
2587,8628,SUCCEEDED__BY
2785,2694,APPRENTICED_TO
2694,2625,APPRENTICED_TO
2694,2785,HAD_APPRENTICE
1076,397,HAD_APPRENTICE
397,1921,TOOK_OVER_FROM
397,1076,APPRENTICED_TO
397,3362,SEE_ALSO
397,1376,SEE_ALSO
397,346,SEE_ALSO
6118,1076,SEE_ALSO
6122,6121,SEE_ALSO
6121,6122,SEE_ALSO
6123,8908,ASSOCIATED_WITH
6124,1765,ASSOCIATED_WITH
1765,5203,HAD_APPRENTICE
9861,4916,TOOK_OVER_FROM
9861,9968,SUCCEEDED__BY
4916,9861,SUCCEEDED__BY
9968,9861,TOOK_OVER_FROM
5372,5371,APPRENTICED_TO
5372,663,HAD_APPRENTICE
5371,4051,APPRENTICED_TO
5371,5372,HAD_APPRENTICE
5371,2479,HAD_APPRENTICE
663,5404,UNCLE_AUNT_OF
663,5386,HAD_APPRENTICE
663,827,SUCCEEDED__BY
663,664,PARENT_OF
663,665,PARTNERSHIP
4386,972,SEE_ALSO
4417,4233,HAD_APPRENTICE
2738,779,SIBLING_OF
779,2738,TOOK_OVER_FROM
779,560,SUCCEEDED__BY
560,779,TOOK_OVER_FROM
9296,6805,TOOK_OVER_FROM
2791,408,ASSOCIATED_WITH
408,166,TOOK_OVER_FROM
408,833,PARTNERSHIP
408,826,SIBLING_OF
408,2713,ASSOCIATED_WITH
408,1302,HAD_APPRENTICE
408,1355,HAD_APPRENTICE
408,436,NEPHEW_NIECE_OF
1986,1987,SEE_ALSO
1987,1986,SEE_ALSO
1987,4491,SEE_ALSO
5538,5038,APPRENTICED_TO
6027,543,TOOK_OVER_FROM
543,540,TOOK_OVER_FROM
543,537,ASSOCIATED_WITH
543,407,ASSOCIATED_WITH
543,6027,SUCCEEDED__BY
537,540,APPRENTICED_TO
4649,343,HAD_APPRENTICE
4491,4490,CHILD_OF
4491,1987,HAD_APPRENTICE
4385,4384,SEE_ALSO
4384,4385,SEE_ALSO
8392,4385,SAME_PREMISES_AS
1652,1649,SEE_ALSO
9624,10173,SEE_ALSO
9624,10172,SUCCEEDED__BY
9624,5057,TOOK_OVER_FROM
10173,10172,SEE_ALSO
10173,9624,PARTNERSHIP
10172,9624,PARTNERSHIP
26,844,SEE_ALSO
26,27,SIBLING_OF
